,median,p2.5,p97.5,epicurve,loglk,AIC
delayCV,0.5563182916136449,0.5218909211076742,0.5963825352219018,2018-11-13,-978.3580403998943,1960.7160807997886
delaymean,12.579777762381848,11.823390060529231,13.295799328795846,2018-11-17,-1105.3398769620082,2214.6797539240165
delaysd,7.834912630356363,7.191907629957807,8.527743391790592,2018-11-17,-1105.3398769620082,2214.6797539240165
delayCV,0.6231790123736116,0.5868733878239126,0.6643405814660666,2018-11-17,-1105.3398769620082,2214.6797539240165
delaymean,12.415663210273264,11.675982509835869,13.180356124360127,2018-11-18,-1085.8616227674909,2175.7232455349817
delaysd,7.888377461389468,7.24969332000121,8.598351327107398,2018-11-18,-1085.8616227674909,2175.7232455349817
delayCV,0.635318989673277,0.5993553314799771,0.6749312099966694,2018-11-18,-1085.8616227674909,2175.7232455349817
delaymean,12.446614242923383,11.691385333599307,13.204080240224188,2018-11-20,-1134.2690810088336,2272.538162017667
delaysd,8.144007965412126,7.494914675624758,8.85013528149268,2018-11-20,-1134.2690810088336,2272.538162017667
delayCV,0.6545074765801463,0.6198340750394233,0.6931418972128188,2018-11-20,-1134.2690810088336,2272.538162017667
delaymean,12.839084546922342,12.068648873936995,13.605485913868266,2018-11-24,-1204.5392726891462,2413.0785453782923
delaysd,8.999788381783496,8.315001019798126,9.740690516955283,2018-11-24,-1204.5392726891462,2413.0785453782923
delayCV,0.7010216522729991,0.667144895105557,0.7390732925087227,2018-11-24,-1204.5392726891462,2413.0785453782923
delaymean,12.652681736032116,11.918743472584888,13.38547788856351,2018-11-25,-1196.7874397736007,2397.5748795472014
delaysd,8.752448765124333,8.093145479389914,9.436216597400723,2018-11-25,-1196.7874397736007,2397.5748795472014
delayCV,0.6916312928044723,0.6596485383237922,0.7277784847785369,2018-11-25,-1196.7874397736007,2397.5748795472014
delaymean,12.617798216644267,11.851548692507766,13.398359131399927,2018-11-27,-1246.8584002237874,2497.7168004475748
delaysd,8.979553111264394,8.307445122209765,9.692513754824292,2018-11-27,-1246.8584002237874,2497.7168004475748
delayCV,0.7115572234308434,0.6786144122843856,0.7495941913921893,2018-11-27,-1246.8584002237874,2497.7168004475748
delaymean,12.572206936848186,11.745150961642752,13.403807761482687,2018-12-01,-1364.1600023565697,2732.3200047131395
delaysd,9.445055985968601,8.681000345861822,10.285566069991907,2018-12-01,-1364.1600023565697,2732.3200047131395
delayCV,0.7516765597033677,0.7142345367526829,0.7943229441967617,2018-12-01,-1364.1600023565697,2732.3200047131395
delaymean,12.534694690939379,11.768345945469024,13.326497566988712,2018-12-02,-1343.6287075216367,2691.2574150432733
delaysd,9.265650741901343,8.548749242100003,10.047642059583234,2018-12-02,-1343.6287075216367,2691.2574150432733
delayCV,0.7385660949821502,0.7015488075374124,0.7788845616969785,2018-12-02,-1343.6287075216367,2691.2574150432733
delaymean,12.397026938003831,11.600547723045242,13.21336970122322,2018-12-04,-1478.9271044970324,2961.8542089940647
delaysd,9.258110071220715,8.505799363674578,10.074887636205057,2018-12-04,-1478.9271044970324,2961.8542089940647
delayCV,0.7467252898125549,0.7089617778544144,0.7900657036682496,2018-12-04,-1478.9271044970324,2961.8542089940647
delaymean,12.46771443556748,11.707096039141348,13.236496602248469,2018-12-08,-1556.8550605895898,3117.7101211791796
delaysd,8.891245293213153,8.215366283909498,9.617762943449698,2018-12-08,-1556.8550605895898,3117.7101211791796
delayCV,0.7134021234453979,0.6805080998654347,0.7500777219866572,2018-12-08,-1556.8550605895898,3117.7101211791796
delaymean,12.340021817641409,11.591035897412935,13.074409723499409,2018-12-10,-1605.0956037870797,3214.1912075741593
delaysd,8.801813472179076,8.13124297530523,9.506521501672848,2018-12-10,-1605.0956037870797,3214.1912075741593
delayCV,0.7129706885337153,0.6780514787914759,0.7508349112966389,2018-12-10,-1605.0956037870797,3214.1912075741593
delaymean,12.244933116283494,11.505260689505866,12.998540475045512,2018-12-11,-1660.532838834499,3325.065677668998
delaysd,8.677555008610844,8.000666660590612,9.388754166228862,2018-12-11,-1660.532838834499,3325.065677668998
delayCV,0.7083576324653968,0.6740447979471734,0.7470512183466799,2018-12-11,-1660.532838834499,3325.065677668998
delaymean,12.313284511377526,11.616416524871486,13.024361596198208,2018-12-16,-1868.6974191790741,3741.3948383581483
delaysd,8.63910929912727,8.007099608513933,9.308928104136331,2018-12-16,-1868.6974191790741,3741.3948383581483
delayCV,0.7010810941310318,0.668064335411348,0.7385948435274478,2018-12-16,-1868.6974191790741,3741.3948383581483
delaymean,12.202422118686435,11.543709501039027,12.867250045439777,2018-12-18,-1912.1934647120386,3828.386929424077
delaysd,8.42562849888617,7.8354043798728386,9.052486449296724,2018-12-18,-1912.1934647120386,3828.386929424077
delayCV,0.6905915852131408,0.6594420455329042,0.7262993197488271,2018-12-18,-1912.1934647120386,3828.386929424077
delaymean,11.80493178290967,11.217017004719649,12.398755921219662,2018-12-22,-1841.774863103999,3687.549726207998
delaysd,8.066612656749712,7.534787806360306,8.631327730716643,2018-12-22,-1841.774863103999,3687.549726207998
delayCV,0.6829633666789309,0.6529512135393684,0.7165210942846977,2018-12-22,-1841.774863103999,3687.549726207998
delaymean,12.293883423253291,11.67445399559742,12.906389892756328,2018-12-25,-2040.4719460918784,4084.943892183757
delaysd,8.545124647742377,7.985109260990616,9.141676349668403,2018-12-25,-2040.4719460918784,4084.943892183757
delayCV,0.6950900545432902,0.6653868063516023,0.7282976604905662,2018-12-25,-2040.4719460918784,4084.943892183757
delaymean,12.44765016772207,11.856172983401423,13.032484662071788,2018-12-26,-2129.8006879508707,4263.601375901741
delaysd,8.523799109316023,7.989224612249142,9.091800057444575,2018-12-26,-2129.8006879508707,4263.601375901741
delayCV,0.684874930337948,0.6569685683914667,0.7161280303728883,2018-12-26,-2129.8006879508707,4263.601375901741
delaymean,12.474688468315021,11.890205531404908,13.050266285502554,2018-12-29,-2181.03332858372,4366.06665716744
delaysd,8.616753183975662,8.097392243264565,9.172003212327011,2018-12-29,-2181.03332858372,4366.06665716744
delayCV,0.6908612326650905,0.6620165530135456,0.7220985363393804,2018-12-29,-2181.03332858372,4366.06665716744
delaymean,12.461661206559224,11.878547339629542,13.04789580839092,2019-01-01,-2241.425636528028,4486.851273056056
delaysd,8.635135745704089,8.115409130823455,9.19620573772161,2019-01-01,-2241.425636528028,4486.851273056056
delayCV,0.6930229690486318,0.6652004933969831,0.7238532731039479,2019-01-01,-2241.425636528028,4486.851273056056
delaymean,12.455453853413182,11.881673788766587,13.042247632168351,2019-01-02,-2300.3830239681624,4604.766047936325
delaysd,8.646888190417059,8.126566879995094,9.2187640224097,2019-01-02,-2300.3830239681624,4604.766047936325
delayCV,0.6942690812137811,0.6658349664646359,0.7262800055860238,2019-01-02,-2300.3830239681624,4604.766047936325
delaymean,12.21848033967602,11.655716972994636,12.785617402678888,2019-01-05,-2359.1255077663313,4722.251015532663
delaysd,8.468136297958484,7.9469044798316775,9.03432512055973,2019-01-05,-2359.1255077663313,4722.251015532663
delayCV,0.6929876458697062,0.6640578780757609,0.7251497639963136,2019-01-05,-2359.1255077663313,4722.251015532663
delaymean,12.183096233859754,11.62020292618186,12.740685516145078,2019-01-06,-2420.4724912089396,4844.944982417879
delaysd,8.450275483107907,7.930437960923134,8.992473470197517,2019-01-06,-2420.4724912089396,4844.944982417879
delayCV,0.6934383858275701,0.6652200852256136,0.7249486229307305,2019-01-06,-2420.4724912089396,4844.944982417879
delaymean,12.18413561553432,11.636004249099848,12.723699730869011,2019-01-08,-2486.070020160567,4976.140040321134
delaysd,8.42313224954319,7.919552665941066,8.959759092190167,2019-01-08,-2486.070020160567,4976.140040321134
delayCV,0.6912458764854648,0.6626216668398902,0.7216698335945355,2019-01-08,-2486.070020160567,4976.140040321134
delaymean,12.114852304245678,11.572080669418597,12.65656737869099,2019-01-12,-2551.437062038994,5106.874124077988
delaysd,8.343836782966328,7.835148083575949,8.87311636995302,2019-01-12,-2551.437062038994,5106.874124077988
delayCV,0.6886139791590865,0.6606550472372765,0.7202297927456083,2019-01-12,-2551.437062038994,5106.874124077988
delaymean,12.08635483514674,11.569673384482824,12.608530575472987,2019-01-14,-2544.046141450382,5092.092282900764
delaysd,8.269625416154868,7.773786279124889,8.771809239317172,2019-01-14,-2544.046141450382,5092.092282900764
delayCV,0.6839212656922192,0.6561464023829489,0.7143373838307268,2019-01-14,-2544.046141450382,5092.092282900764
delaymean,12.144371838674212,11.61973873227515,12.66511223545413,2019-01-15,-2609.102968237917,5222.205936475834
delaysd,8.298264135307086,7.805115617943007,8.816928040229719,2019-01-15,-2609.102968237917,5222.205936475834
delayCV,0.6832859590353124,0.6560798117401987,0.7129075214328673,2019-01-15,-2609.102968237917,5222.205936475834
