,median,p2.5,p97.5,epicurve,loglk,AIC,switch_t,switch
delayCV__1,0.5296863326462973,0.5103343398047541,0.5508500989920626,2019-02-03,-3143.6681570853925,6295.336314170785,210,2018-11-26
delaymean,11.841849792759056,11.445825121472565,12.230946039881873,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
k__0,1.3554034514955262,1.2795358056708177,1.4297503681707098,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
k__1,1.9174069202696251,1.8370750976550794,1.9960675032298612,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
delaysd__0,8.834079270385075,8.312846053980156,9.404357797924156,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
delaysd__1,6.430250023028075,6.117341152252098,6.765557663906916,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
delayCV__0,0.7459350696020587,0.7097533119225593,0.7874100448245472,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
delayCV__1,0.5429669752641451,0.5236500238553223,0.5643640749384772,2019-02-10,-3280.330154531892,6568.660309063784,210,2018-11-26
delaymean,11.833940232288928,11.431531134848225,12.234288890820672,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
k__0,1.35404515045087,1.2774028289586614,1.4311506397035507,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
k__1,1.9037648180589448,1.8248341606107412,1.9812933105549384,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
delaysd__0,8.83704584814976,8.30495125888865,9.431718657163284,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
delaysd__1,6.467889541541567,6.150846686984927,6.800233494700481,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
delayCV__0,0.746634666893659,0.7091092686207286,0.7886514695080344,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
delayCV__1,0.5464757644705613,0.5271640488543996,0.567787132057703,2019-02-17,-3409.249482444404,6826.498964888808,210,2018-11-26
delaymean,11.742626441316236,11.364826752591974,12.136032014835841,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
k__0,1.3573763438697797,1.281130986250404,1.433042981258232,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
k__1,1.9087637267966393,1.828616137059542,1.9883123121560982,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
delaysd__0,8.747755668464745,8.243249672303206,9.306419252145304,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
delaysd__1,6.402634149968584,6.090321588440748,6.738806206090312,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
delayCV__0,0.7449215358604284,0.7082409685883291,0.7864844944484606,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
delayCV__1,0.545184329277626,0.5254882470386176,0.566724717862823,2019-02-24,-3585.2648455466115,7178.529691093223,210,2018-11-26
delaymean,11.745571946042368,11.365527277756936,12.127577436389258,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
k__0,1.3605974421182778,1.285917996403539,1.4358720245301755,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
k__1,1.9057827880298785,1.8254690312675947,1.985960623979423,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
delaysd__0,8.729375204467132,8.221237201333034,9.286481247229554,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
delaysd__1,6.409062685526603,6.103694781435054,6.748787129538267,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
delayCV__0,0.7432733721235726,0.7069472731588903,0.7837216310702907,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
delayCV__1,0.5459536364628965,0.5260484324993141,0.5676084841802781,2019-03-03,-3752.454801022008,7512.909602044016,210,2018-11-26
delaymean,11.695794967296358,11.318261294329186,12.071771130547432,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
k__0,1.3602981312495162,1.2846505980605556,1.436021402508589,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
k__1,1.9036000386499654,1.824253096504086,1.9812715605515796,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
delaysd__0,8.695509854214833,8.18063538742758,9.258801210316031,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
delaysd__1,6.394245505228589,6.088670778250434,6.720812962917378,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
delayCV__0,0.7434261786179337,0.7068791103299594,0.7844509931819759,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
delayCV__1,0.5465184472678808,0.5271692595081283,0.5679507466647833,2019-03-10,-3925.5010926132386,7859.002185226477,210,2018-11-26
delaymean,11.626274139684408,11.259856288598733,11.987302794390562,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
k__0,1.3688027979395518,1.2936308326684314,1.4440966791512893,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
k__1,1.9243961745690317,1.8490235815551033,2.00291127935105,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
delaysd__0,8.590905784740603,8.096868453407257,9.13745645408423,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
delaysd__1,6.290732016708745,5.999417451408319,6.599273932198639,2019-03-17,-4105.5905787392685,8219.181157478537,210,2018-11-26
